[Step 40/500] [PPO] PPO Loss: 0.2661, Desc Loss: -0.2159, KP Floor: 0.0000, Reward: 0.5330, Inliers: 15.0, Det: (209, 214)
[Step 41/500] [PPO] PPO Loss: 2.9747, Desc Loss: 1.9340, KP Floor: 0.0000, Reward: 0.8430, Inliers: 98.5, Det: (208, 214)
[Step 42/500] [PPO] PPO Loss: 0.3025, Desc Loss: 1.6147, KP Floor: 0.0000, Reward: 0.5897, Inliers: 19.5, Det: (187, 199)
[Step 43/500] [PPO] PPO Loss: 0.2785, Desc Loss: 1.2547, KP Floor: 0.0000, Reward: 0.5590, Inliers: 17.5, Det: (206, 214)
[Step 44/500] [PPO] PPO Loss: 0.2995, Desc Loss: 1.3695, KP Floor: 0.0000, Reward: 0.5814, Inliers: 18.0, Det: (212, 210)
[Step 45/500] [PPO] PPO Loss: 0.5616, Desc Loss: 1.2636, KP Floor: 0.0000, Reward: 0.6748, Inliers: 27.0, Det: (195, 212)
[Step 46/500] [PPO] PPO Loss: 3.6140, Desc Loss: 1.7315, KP Floor: 0.0000, Reward: 0.8622, Inliers: 100.5, Det: (210, 211)
[Step 47/500] [PPO] PPO Loss: 0.4166, Desc Loss: 1.5120, KP Floor: 0.0000, Reward: 0.6194, Inliers: 25.0, Det: (210, 215)
[Step 48/500] [PPO] PPO Loss: 3.7056, Desc Loss: 1.5376, KP Floor: 0.0000, Reward: 0.8591, Inliers: 103.5, Det: (204, 210)
[Step 49/500] [PPO] PPO Loss: 0.4446, Desc Loss: 1.2848, KP Floor: 0.0000, Reward: 0.6431, Inliers: 25.5, Det: (199, 206)
[Step 50/500] [PPO] PPO Loss: 0.7071, Desc Loss: 1.2317, KP Floor: 0.0000, Reward: 0.7043, Inliers: 31.5, Det: (210, 213)
[Step 51/500] [PPO] PPO Loss: 3.3550, Desc Loss: 1.7901, KP Floor: 0.0000, Reward: 0.8446, Inliers: 96.5, Det: (212, 202)
[Step 52/500] [PPO] PPO Loss: 0.2457, Desc Loss: 1.6267, KP Floor: 0.0000, Reward: 0.5483, Inliers: 18.0, Det: (210, 211)
[Step 53/500] [PPO] PPO Loss: 0.4862, Desc Loss: 0.6663, KP Floor: 0.0000, Reward: 0.6881, Inliers: 28.0, Det: (211, 214)
[Step 54/500] [PPO] PPO Loss: 1.0910, Desc Loss: 1.8748, KP Floor: 0.0000, Reward: 0.8694, Inliers: 50.5, Det: (203, 217)
[Step 55/500] [PPO] PPO Loss: 0.1978, Desc Loss: 2.8333, KP Floor: 0.0000, Reward: 0.5544, Inliers: 18.0, Det: (205, 214)
[Step 56/500] [PPO] PPO Loss: 0.1802, Desc Loss: -0.2653, KP Floor: 0.0000, Reward: 0.5281, Inliers: 17.0, Det: (202, 220)
[Step 57/500] [PPO] PPO Loss: 2.9887, Desc Loss: 1.8405, KP Floor: 0.0000, Reward: 0.8409, Inliers: 95.5, Det: (207, 214)
[Step 58/500] [PPO] PPO Loss: 2.4743, Desc Loss: 1.6940, KP Floor: 0.0000, Reward: 0.8366, Inliers: 87.5, Det: (202, 207)
[Step 59/500] [PPO] PPO Loss: 2.4062, Desc Loss: 2.7317, KP Floor: 0.0000, Reward: 0.8533, Inliers: 91.0, Det: (201, 198)
[Step 60/500] [PPO] PPO Loss: 0.2460, Desc Loss: 3.1164, KP Floor: 0.0000, Reward: 0.6198, Inliers: 22.0, Det: (200, 200)
[Step 61/500] [PPO] PPO Loss: 0.1856, Desc Loss: 0.9068, KP Floor: 0.0000, Reward: 0.5365, Inliers: 18.0, Det: (205, 196)
[Step 62/500] [PPO] PPO Loss: 0.2079, Desc Loss: -0.2736, KP Floor: 0.0000, Reward: 0.5496, Inliers: 18.5, Det: (195, 213)
[Step 63/500] [PPO] PPO Loss: 0.1769, Desc Loss: 1.2278, KP Floor: 0.0000, Reward: 0.5325, Inliers: 17.0, Det: (202, 200)
[Step 64/500] [PPO] PPO Loss: 0.1701, Desc Loss: 1.1609, KP Floor: 0.0000, Reward: 0.5302, Inliers: 16.0, Det: (205, 206)
[Step 65/500] [PPO] PPO Loss: 0.1507, Desc Loss: 1.2506, KP Floor: 0.0000, Reward: 0.5330, Inliers: 15.0, Det: (205, 208)
[Step 66/500] [PPO] PPO Loss: 2.8808, Desc Loss: 1.6017, KP Floor: 0.0000, Reward: 0.8543, Inliers: 105.0, Det: (210, 201)
[Step 67/500] [PPO] PPO Loss: 2.3949, Desc Loss: 1.6894, KP Floor: 0.0000, Reward: 0.8620, Inliers: 96.5, Det: (204, 203)
[Step 68/500] [PPO] PPO Loss: 0.1607, Desc Loss: -0.2862, KP Floor: 0.0000, Reward: 0.5467, Inliers: 19.0, Det: (206, 212)
[Step 69/500] [PPO] PPO Loss: 0.5784, Desc Loss: 0.7925, KP Floor: 0.0000, Reward: 0.7224, Inliers: 37.0, Det: (198, 200)
