[Step 51/250] PPO Loss: 0.3106, Desc Loss: 0.1340, Reward: 0.5593, Inliers: 13.0, Det: (434, 414)
[Step 52/250] PPO Loss: 0.3153, Desc Loss: 0.0939, Reward: 0.5287, Inliers: 13.5, Det: (416, 426)
[Step 53/250] PPO Loss: 0.3105, Desc Loss: 0.0477, Reward: 0.4726, Inliers: 12.5, Det: (423, 411)
[Step 54/250] PPO Loss: 0.3113, Desc Loss: 0.0865, Reward: 0.6203, Inliers: 21.5, Det: (414, 419)
[Step 55/250] PPO Loss: 0.3077, Desc Loss: 0.0934, Reward: 0.4636, Inliers: 11.8, Det: (421, 425)
[Step 56/250] PPO Loss: 0.3080, Desc Loss: 0.0912, Reward: 0.5279, Inliers: 11.8, Det: (423, 417)
[Step 57/250] PPO Loss: 0.3032, Desc Loss: 0.1750, Reward: 0.5683, Inliers: 22.5, Det: (418, 418)
[Step 58/250] PPO Loss: 0.3021, Desc Loss: 0.1365, Reward: 0.5338, Inliers: 21.2, Det: (424, 415)
[Step 59/250] PPO Loss: 0.2933, Desc Loss: 0.1378, Reward: 0.4809, Inliers: 12.8, Det: (426, 414)
[Step 60/250] PPO Loss: 0.2935, Desc Loss: 0.1376, Reward: 0.5804, Inliers: 24.8, Det: (417, 417)
[Step 61/250] PPO Loss: 0.2876, Desc Loss: 0.1386, Reward: 0.5415, Inliers: 17.8, Det: (421, 419)
[Step 62/250] PPO Loss: 0.2821, Desc Loss: 0.0900, Reward: 0.5491, Inliers: 18.8, Det: (416, 436)
[Step 63/250] PPO Loss: 0.2804, Desc Loss: 0.1805, Reward: 0.5131, Inliers: 13.2, Det: (419, 418)
[Step 64/250] PPO Loss: 0.2770, Desc Loss: 0.0914, Reward: 0.5327, Inliers: 13.2, Det: (401, 413)
[Step 65/250] PPO Loss: 0.2710, Desc Loss: 0.0461, Reward: 0.5010, Inliers: 11.5, Det: (417, 427)
[Step 66/250] PPO Loss: 0.2730, Desc Loss: 0.1749, Reward: 0.5281, Inliers: 24.0, Det: (419, 429)
[Step 67/250] PPO Loss: 0.2685, Desc Loss: 0.0495, Reward: 0.3886, Inliers: 7.8, Det: (421, 425)
[Step 68/250] PPO Loss: 0.2690, Desc Loss: 0.1840, Reward: 0.5206, Inliers: 16.8, Det: (426, 412)
[Step 69/250] PPO Loss: 0.2679, Desc Loss: 0.0492, Reward: 0.6700, Inliers: 8.5, Det: (424, 406)
[Step 70/250] PPO Loss: 0.2645, Desc Loss: 0.1343, Reward: 0.4529, Inliers: 18.2, Det: (431, 414)
[Step 71/250] PPO Loss: 0.2628, Desc Loss: 0.0925, Reward: 0.5906, Inliers: 16.5, Det: (428, 414)
[Step 72/250] PPO Loss: 0.2599, Desc Loss: 0.1393, Reward: 0.5030, Inliers: 16.8, Det: (424, 420)
[Step 73/250] PPO Loss: 0.2615, Desc Loss: 0.0436, Reward: 0.5089, Inliers: 14.2, Det: (415, 417)
[Step 74/250] PPO Loss: 0.2626, Desc Loss: 0.1342, Reward: 0.5030, Inliers: 23.5, Det: (415, 430)
[Step 75/250] PPO Loss: 0.2687, Desc Loss: 0.0900, Reward: 0.5630, Inliers: 16.2, Det: (408, 414)
[Step 76/250] PPO Loss: 0.2702, Desc Loss: 0.0969, Reward: 0.5610, Inliers: 15.5, Det: (421, 412)
[Step 77/250] PPO Loss: 0.2599, Desc Loss: 0.0457, Reward: 0.4493, Inliers: 12.0, Det: (417, 415)
[Step 78/250] PPO Loss: 0.2585, Desc Loss: 0.1322, Reward: 0.5564, Inliers: 25.2, Det: (417, 415)
[Step 79/250] PPO Loss: 0.2601, Desc Loss: 0.1401, Reward: 0.4893, Inliers: 14.5, Det: (412, 410)
[Step 80/250] PPO Loss: 0.2507, Desc Loss: 0.0415, Reward: 0.6141, Inliers: 16.8, Det: (416, 414)
[Step 81/250] PPO Loss: 0.2478, Desc Loss: 0.0911, Reward: 0.5298, Inliers: 19.0, Det: (414, 416)
[Step 82/250] PPO Loss: 0.2470, Desc Loss: 0.0935, Reward: 0.5078, Inliers: 17.0, Det: (427, 403)
[Step 83/250] PPO Loss: 0.2378, Desc Loss: 0.0928, Reward: 0.4658, Inliers: 16.8, Det: (421, 409)
[Step 84/250] PPO Loss: 0.2317, Desc Loss: 0.0881, Reward: 0.6701, Inliers: 16.0, Det: (423, 424)
[Step 85/250] PPO Loss: 0.2254, Desc Loss: 0.0467, Reward: 0.5782, Inliers: 13.2, Det: (414, 428)
[Step 86/250] PPO Loss: 0.2179, Desc Loss: 0.0906, Reward: 0.5006, Inliers: 14.0, Det: (418, 412)
[Step 87/250] PPO Loss: 0.2134, Desc Loss: 0.1773, Reward: 0.4799, Inliers: 31.8, Det: (423, 410)
[Step 88/250] PPO Loss: 0.2053, Desc Loss: 0.0456, Reward: 0.6154, Inliers: 12.5, Det: (426, 420)
[Step 89/250] PPO Loss: 0.1992, Desc Loss: 0.1367, Reward: 0.5063, Inliers: 15.0, Det: (413, 410)
[Step 90/250] PPO Loss: 0.1930, Desc Loss: 0.0470, Reward: 0.6180, Inliers: 17.0, Det: (420, 417)
[Step 91/250] PPO Loss: 0.1883, Desc Loss: 0.0482, Reward: 0.5819, Inliers: 10.5, Det: (404, 411)
[Step 92/250] PPO Loss: 0.1800, Desc Loss: 0.1355, Reward: 0.5201, Inliers: 26.0, Det: (420, 419)
[Step 93/250] PPO Loss: 0.1722, Desc Loss: 0.0415, Reward: 0.5782, Inliers: 12.5, Det: (421, 425)
[Step 94/250] PPO Loss: 0.1662, Desc Loss: 0.0472, Reward: 0.5626, Inliers: 15.5, Det: (411, 410)
[Step 95/250] PPO Loss: 0.1652, Desc Loss: 0.0436, Reward: 0.4928, Inliers: 13.0, Det: (418, 415)
[Step 96/250] PPO Loss: 0.1596, Desc Loss: 0.0929, Reward: 0.5864, Inliers: 16.2, Det: (419, 417)
[Step 97/250] PPO Loss: 0.1564, Desc Loss: 0.0881, Reward: 0.5211, Inliers: 19.8, Det: (418, 414)
[Step 98/250] PPO Loss: 0.1503, Desc Loss: 0.0000, Reward: 0.3819, Inliers: 8.2, Det: (413, 405)
[Step 99/250] PPO Loss: 0.1462, Desc Loss: 0.0486, Reward: 0.5489, Inliers: 11.0, Det: (417, 407)
[Step 100/250] PPO Loss: 0.1403, Desc Loss: 0.0924, Reward: 0.6132, Inliers: 14.2, Det: (418, 411)
[Step 101/250] PPO Loss: 0.1312, Desc Loss: 0.0923, Reward: 0.4674, Inliers: 17.2, Det: (412, 397)
[Step 102/250] PPO Loss: 0.1326, Desc Loss: 0.0469, Reward: 0.5712, Inliers: 10.2, Det: (417, 405)
[Step 103/250] PPO Loss: 0.1284, Desc Loss: 0.1325, Reward: 0.5408, Inliers: 11.8, Det: (401, 420)
[Step 104/250] PPO Loss: 0.1226, Desc Loss: 0.1372, Reward: 0.5216, Inliers: 20.5, Det: (413, 415)
[Step 105/250] PPO Loss: 0.1187, Desc Loss: 0.0903, Reward: 0.5410, Inliers: 12.2, Det: (421, 414)
[Step 106/250] PPO Loss: 0.1177, Desc Loss: 0.0412, Reward: 0.5818, Inliers: 16.2, Det: (417, 407)
[Step 107/250] PPO Loss: 0.1146, Desc Loss: 0.0422, Reward: 0.6033, Inliers: 13.8, Det: (410, 406)
[Step 108/250] PPO Loss: 0.1067, Desc Loss: 0.0862, Reward: 0.4774, Inliers: 15.0, Det: (406, 420)
[Step 109/250] PPO Loss: 0.1069, Desc Loss: 0.1371, Reward: 0.4474, Inliers: 12.5, Det: (422, 413)
[Step 110/250] PPO Loss: 0.1000, Desc Loss: 0.0466, Reward: 0.4927, Inliers: 13.0, Det: (415, 411)
[Step 111/250] PPO Loss: 0.1007, Desc Loss: 0.1378, Reward: 0.4523, Inliers: 12.5, Det: (431, 405)
[Step 112/250] PPO Loss: 0.0902, Desc Loss: 0.1385, Reward: 0.4972, Inliers: 14.0, Det: (406, 415)
[Step 113/250] PPO Loss: 0.0942, Desc Loss: 0.1368, Reward: 0.4516, Inliers: 13.8, Det: (416, 424)
[Step 114/250] PPO Loss: 0.0894, Desc Loss: 0.0484, Reward: 0.3836, Inliers: 10.0, Det: (414, 413)
[Step 115/250] PPO Loss: 0.0874, Desc Loss: 0.1234, Reward: 0.5825, Inliers: 24.5, Det: (402, 416)
[Step 116/250] PPO Loss: 0.0768, Desc Loss: 0.1341, Reward: 0.5213, Inliers: 22.2, Det: (406, 422)
[Step 117/250] PPO Loss: 0.0668, Desc Loss: 0.1411, Reward: 0.4044, Inliers: 12.5, Det: (416, 417)
[Step 118/250] PPO Loss: 0.0617, Desc Loss: 0.0823, Reward: 0.5028, Inliers: 15.2, Det: (405, 414)
[Step 119/250] PPO Loss: 0.0554, Desc Loss: 0.0433, Reward: 0.4177, Inliers: 8.8, Det: (416, 411)
[Step 120/250] PPO Loss: 0.0510, Desc Loss: 0.1378, Reward: 0.4076, Inliers: 15.5, Det: (409, 422)
[Step 121/250] PPO Loss: 0.0425, Desc Loss: 0.1401, Reward: 0.4352, Inliers: 12.2, Det: (404, 412)
[Step 122/250] PPO Loss: 0.0413, Desc Loss: 0.1328, Reward: 0.4895, Inliers: 15.0, Det: (424, 404)
[Step 123/250] PPO Loss: 0.0365, Desc Loss: 0.1333, Reward: 0.6023, Inliers: 16.5, Det: (411, 416)
[Step 124/250] PPO Loss: 0.0330, Desc Loss: 0.0000, Reward: 0.5745, Inliers: 10.5, Det: (407, 424)
[Step 125/250] PPO Loss: 0.0311, Desc Loss: 0.0856, Reward: 0.6189, Inliers: 12.5, Det: (427, 409)
[Step 126/250] PPO Loss: 0.0309, Desc Loss: 0.0926, Reward: 0.5048, Inliers: 15.8, Det: (414, 408)
[Step 127/250] PPO Loss: 0.0273, Desc Loss: 0.0956, Reward: 0.5569, Inliers: 14.2, Det: (413, 411)
[Step 128/250] PPO Loss: 0.0294, Desc Loss: 0.1395, Reward: 0.5389, Inliers: 18.8, Det: (417, 404)
[Step 129/250] PPO Loss: 0.0245, Desc Loss: 0.0882, Reward: 0.5324, Inliers: 17.0, Det: (402, 406)
[Step 130/250] PPO Loss: 0.0239, Desc Loss: 0.0436, Reward: 0.5143, Inliers: 17.0, Det: (415, 411)
[Step 131/250] PPO Loss: 0.0196, Desc Loss: 0.0879, Reward: 0.5695, Inliers: 23.8, Det: (402, 401)
[Step 132/250] PPO Loss: 0.0186, Desc Loss: 0.1344, Reward: 0.5375, Inliers: 23.5, Det: (411, 401)
[Step 133/250] PPO Loss: 0.0237, Desc Loss: 0.0412, Reward: 0.4194, Inliers: 18.0, Det: (403, 403)
[Step 134/250] PPO Loss: 0.0234, Desc Loss: 0.0862, Reward: 0.4733, Inliers: 20.0, Det: (418, 404)
[Step 135/250] PPO Loss: 0.0194, Desc Loss: 0.0917, Reward: 0.5590, Inliers: 10.2, Det: (409, 409)
[Step 136/250] PPO Loss: 0.0180, Desc Loss: 0.1298, Reward: 0.5385, Inliers: 20.5, Det: (412, 404)
[Step 137/250] PPO Loss: 0.0122, Desc Loss: 0.0931, Reward: 0.6584, Inliers: 13.2, Det: (415, 400)
[Step 138/250] PPO Loss: 0.0087, Desc Loss: 0.0898, Reward: 0.5030, Inliers: 20.0, Det: (404, 413)
[Step 139/250] PPO Loss: 0.0033, Desc Loss: 0.0873, Reward: 0.6261, Inliers: 20.5, Det: (408, 405)
[Step 140/250] PPO Loss: 0.0013, Desc Loss: 0.0441, Reward: 0.6390, Inliers: 11.5, Det: (413, 402)
[Step 141/250] PPO Loss: 0.0014, Desc Loss: 0.0459, Reward: 0.5803, Inliers: 13.8, Det: (408, 416)
[Step 142/250] PPO Loss: 0.0006, Desc Loss: 0.0931, Reward: 0.4540, Inliers: 16.0, Det: (408, 400)
[Step 143/250] PPO Loss: 0.0016, Desc Loss: 0.1363, Reward: 0.5726, Inliers: 24.5, Det: (393, 408)
[Step 144/250] PPO Loss: 0.0060, Desc Loss: 0.0915, Reward: 0.6123, Inliers: 10.5, Det: (393, 398)
[Step 145/250] PPO Loss: 0.0071, Desc Loss: 0.1724, Reward: 0.5079, Inliers: 20.5, Det: (407, 399)
[Step 146/250] PPO Loss: 0.0085, Desc Loss: 0.0860, Reward: 0.4935, Inliers: 19.8, Det: (395, 406)
[Step 147/250] PPO Loss: 0.0045, Desc Loss: 0.0459, Reward: 0.5290, Inliers: 11.5, Det: (397, 402)
[Step 148/250] PPO Loss: 0.0028, Desc Loss: 0.1369, Reward: 0.4131, Inliers: 14.5, Det: (409, 419)
[Step 149/250] PPO Loss: 0.0009, Desc Loss: 0.0484, Reward: 0.4899, Inliers: 11.5, Det: (409, 402)
[Step 150/250] PPO Loss: -0.0033, Desc Loss: 0.0896, Reward: 0.4881, Inliers: 17.5, Det: (400, 397)
[Step 151/250] PPO Loss: -0.0032, Desc Loss: 0.0466, Reward: 0.5045, Inliers: 12.2, Det: (410, 399)
[Step 152/250] PPO Loss: -0.0031, Desc Loss: 0.1341, Reward: 0.4822, Inliers: 29.0, Det: (396, 401)
[Step 153/250] PPO Loss: -0.0028, Desc Loss: 0.0859, Reward: 0.5575, Inliers: 17.5, Det: (401, 392)
[Step 154/250] PPO Loss: -0.0038, Desc Loss: 0.0432, Reward: 0.4554, Inliers: 16.5, Det: (397, 392)
[Step 155/250] PPO Loss: -0.0079, Desc Loss: 0.1378, Reward: 0.5432, Inliers: 15.2, Det: (399, 401)
[Step 156/250] PPO Loss: -0.0089, Desc Loss: 0.0453, Reward: 0.4509, Inliers: 13.2, Det: (403, 386)
[Step 157/250] PPO Loss: -0.0111, Desc Loss: 0.0911, Reward: 0.4645, Inliers: 13.2, Det: (402, 402)
